,precision,recall
321,0.375,0.103448276
336,0.3,0.375
341,0.7,0.056451613
347,0.1,0.012345679
350,0,0
362,0.222222222,0.027777778
363,0.2,0.006116208
367,0.4,0.088888889
375,0.8,0.266666667
378,0.333333333,0.063829787
393,0,0
397,0.6,0.031914894
400,0.111111111,0.055555556
408,0,0
414,0.1,0.2
422,0.8,0.059701493
426,0.4,0.045454545
427,0.1,0.035714286
433,0.4,0.015873016
439,0,0
442,0.1,0.006535948
445,0.555555556,0.074626866
626,0.5,0.084745763
646,0,0
690,0,0
801,0.1,0.166666667
802,1,0.347826087
803,0.75,0.037974684
804,0.6,0.085714286
805,0.333333333,0.073170732
806,1.125,0.142857143
807,1,0.256410256
808,0.6,0.077922078
809,0.333333333,0.075
810,0,0
811,1,0.166666667
812,0.5,0.05
813,0.111111111,0.083333333
814,0.5,0.065789474
815,0.5,0.053763441
816,0.2,0.013986014
817,0.3,0.058823529
818,0.6,0.092307692
819,0.25,0.133333333
820,0.3,0.028037383
821,0.5,0.056818182
822,0.3,0.069767442
823,1,0.155172414
824,0.9,0.069767442
825,0.7,0.179487179
,0.412,0.083024854
