,precision,recall
321,0.230769231,0.206896552
336,0.375,0.375
341,0.349593496,0.346774194
347,0.101694915,0.074074074
350,0,0
362,0.161764706,0.152777778
363,0.321192053,0.296636086
367,0.155555556,0.155555556
375,0.5,0.433333333
378,0.088888889,0.085106383
393,0.036363636,0.033333333
397,0.150837989,0.143617021
400,0.133333333,0.111111111
408,0.063414634,0.055084746
414,0.2,0.2
422,0.368852459,0.335820896
426,0.219512195,0.204545455
427,0.037037037,0.035714286
433,0.053719008,0.051587302
439,0.085106383,0.074766355
442,0.092198582,0.08496732
445,0.232142857,0.194029851
626,0.396226415,0.355932203
646,0.153846154,0.133333333
690,0.03030303,0.025
801,0.166666667,0.166666667
802,0.764705882,0.565217391
803,0.309352518,0.272151899
804,0.354166667,0.242857143
805,0.194444444,0.170731707
806,0.653061224,0.507936508
807,0.666666667,0.666666667
808,0.138888889,0.12987013
809,0.566666667,0.425
810,0,0
811,0.431372549,0.407407407
812,0.213483146,0.19
813,0.090909091,0.083333333
814,0.578125,0.486842105
815,0.355555556,0.344086022
816,0.218978102,0.20979021
817,0.42,0.411764706
818,0.695652174,0.492307692
819,0.307692308,0.266666667
820,0.153061224,0.140186916
821,0.157894737,0.136363636
822,0.333333333,0.325581395
823,0.450980392,0.396551724
824,0.355371901,0.333333333
825,0.461538462,0.461538462
,0.271518403,0.239956978
